t,t_wall,ax,ay,gravity,gx,gy,psi_dot,delta_dot,t_rel,steer_input,direction,rep,ay_target,swa_calib_deg
428.5561519879848,1781612081.5043712,1.9907535314559937,0.04803619161248207,9.811651229858398,0.00030770438024774194,2.555000173742883e-05,0.00020665928605012596,1.3508000000000013,0.52,0.027016000000000026,left,1,2.0,7.092
428.56615198776126,1781612081.5148804,1.992377758026123,0.10000468045473099,9.811623573303223,0.0007723786402493715,2.6117808374692686e-05,0.00043740146793425083,1.3508000000000007,0.53,0.04052400000000003,left,1,2.0,7.092
428.57615198753774,1781612081.5253248,1.9906105995178223,0.1610495001077652,9.811691284179688,0.0014479724923148751,2.75342845270643e-05,0.0008508820901624858,1.350800000000002,0.54,0.05403200000000005,left,1,2.0,7.092
428.5861519873142,1781612081.535725,1.9884527921676636,0.23113107681274414,9.811785697937012,0.0023037628270685673,3.0132434403640218e-05,0.0014992039650678635,1.3508000000000007,0.55,0.06754000000000006,left,1,2.0,7.092
428.5961519870907,1781612081.5452266,1.98630690574646,0.3106628656387329,9.811830520629883,0.0032916893251240253,3.389199628145434e-05,0.0024285907857120037,1.3508000000000007,0.56,0.08104800000000006,left,1,2.0,7.092
428.6061519868672,1781612081.555365,1.9836972951889038,0.3989716172218323,9.81190299987793,0.004353254102170467,3.9910763007355854e-05,0.0036828310694545507,1.350800000000002,0.5700000000000001,0.09455600000000008,left,1,2.0,7.092
428.6161519866437,1781612081.5656223,1.9803825616836548,0.4952808618545532,9.811980247497559,0.005428438540548086,4.852352140005678e-05,0.005302359350025654,1.3507999999999867,0.58,0.10806399999999995,left,1,2.0,7.092
428.62615198642015,1781612081.576221,1.9765121936798096,0.6003954410552979,9.81189250946045,0.006463238503783941,5.9225658333161846e-05,0.007325172424316406,1.350800000000002,0.59,0.12157199999999997,left,1,2.0,7.092
428.63615198619664,1781612081.5866933,1.972744345664978,0.7144899964332581,9.811814308166504,0.007416113279759884,7.27396400179714e-05,0.00978595670312643,1.3508000000000007,0.6,0.13507999999999998,left,1,2.0,7.092
428.6461519859731,1781612081.5972,1.9671235084533691,0.8375104665756226,9.811674118041992,0.008259851485490799,8.904838614398614e-05,0.012717236764729023,1.350800000000002,0.61,0.148588,left,1,2.0,7.092
428.6561519857496,1781612081.6073885,1.9609838724136353,0.9712613224983215,9.811378479003906,0.008982528001070023,0.00010879591718548909,0.016149085015058517,1.350800000000002,0.62,0.16209600000000002,left,1,2.0,7.092
428.6661519855261,1781612081.616895,1.953771948814392,1.1139099597930908,9.811213493347168,0.00958677101880312,0.000131881664856337,0.020109696313738823,1.3507999999999991,0.63,0.175604,left,1,2.0,7.092
428.67615198530257,1781612081.6279614,1.945307731628418,1.2685790061950684,9.810847282409668,0.010087822563946247,0.0001585056452313438,0.024625113233923912,1.350800000000002,0.64,0.18911200000000003,left,1,2.0,7.092
428.68615198507905,1781612081.637019,1.9348198175430298,1.4338862895965576,9.81055736541748,0.010509801097214222,0.00018944047042168677,0.029719678685069084,1.3507999999999964,0.65,0.20262,left,1,2.0,7.092
428.69615198485553,1781612081.6481097,1.936431646347046,1.2437297105789185,9.80898380279541,0.008888714015483856,0.0001973155012819916,0.03459108993411064,0.0,0.66,0.20262,left,1,2.0,7.092
428.706151984632,1781612081.6590087,1.9375911951065063,1.127311110496521,9.80815601348877,0.005979782901704311,0.00018580151663627476,0.03919436037540436,0.0,0.67,0.20262,left,1,2.0,7.092
428.7161519844085,1781612081.6690729,1.9372179508209229,1.0690206289291382,9.808063507080078,0.00248863291926682,0.0001598221861058846,0.04350559040904045,0.0,0.68,0.20262,left,1,2.0,7.092
428.726151984185,1781612081.6790843,1.9372907876968384,1.050597906112671,9.808485984802246,-0.0009807217866182327,0.00012485736806411296,0.04751765355467796,0.0,0.6900000000000001,0.20262,left,1,2.0,7.092
428.73615198396146,1781612081.6899595,1.9368780851364136,1.059151530265808,9.809454917907715,-0.003964920062571764,8.616804552730173e-05,0.051234837621450424,0.0,0.7000000000000001,0.20262,left,1,2.0,7.092
428.74615198373795,1781612081.700454,1.936143398284912,1.08481764793396,9.810492515563965,-0.0061536142602562904,4.839291068492457e-05,0.054668862372636795,0.0,0.71,0.20262,left,1,2.0,7.092
428.7561519835144,1781612081.709974,1.935286045074463,1.1193482875823975,9.811558723449707,-0.007391484919935465,1.514086761744693e-05,0.057835765182971954,0.0,0.72,0.20262,left,1,2.0,7.092
