t,t_wall,ax,ay,gravity,gx,gy,psi_dot,delta_dot,t_rel,steer_input,speed_kmh
838.0032254401594,1781616487.040531,-0.1404159814119339,4.93100118637085,9.743815422058105,-0.010546678677201271,0.0031003037001937628,0.298098087310791,-0.9014330412425942,4.16,0.35291649057398156,65.0
838.0132254399359,1781616487.0500367,-0.1490526795387268,5.248005390167236,9.748427391052246,-0.014610066078603268,0.0029556399676948786,0.2984556555747986,-0.9905828096520464,4.17,0.3430106624774611,65.0
838.0232254397124,1781616487.059565,-0.09981340914964676,4.738924026489258,9.750580787658691,-0.02099722810089588,0.0027142055332660675,0.2969948947429657,-1.0772302799135158,4.18,0.33223835967832593,65.0
838.0332254394889,1781616487.0705917,-0.05723876878619194,4.32012414932251,9.754487991333008,-0.02900075912475586,0.00240067346021533,0.29369112849235535,-1.1611565729975293,4.19,0.32062679394835064,65.0
838.0432254392654,1781616487.080114,-0.022332679480314255,3.963562488555908,9.759912490844727,-0.03804455325007439,0.002038526814430952,0.28858402371406555,-1.2421496838035118,4.2,0.3082052971103155,65.0
838.0532254390419,1781616487.089622,0.007910468615591526,3.6485755443573,9.76659107208252,-0.047653310000896454,0.0016495928866788745,0.2817618250846863,-1.3200050167045285,4.21,0.29500524694327024,65.0
838.0632254388183,1781616487.0991452,0.029679708182811737,3.3672797679901123,9.774059295654297,-0.057428304105997086,0.0012534979032352567,0.27334749698638916,-1.394525902372995,4.22,0.2810599879195403,65.0
838.0732254385948,1781616487.108673,0.0463421493768692,3.1068153381347656,9.781977653503418,-0.06703294813632965,0.0008676270372234285,0.2634902596473694,-1.4655240945840198,4.23,0.2664047469737001,65.0
838.0832254383713,1781616487.118178,0.05948638543486595,2.8627614974975586,9.789907455444336,-0.07618068903684616,0.0005064698052592576,0.2523578405380249,-1.5328202457419504,4.24,0.2510765445162806,65.0
838.0932254381478,1781616487.127696,0.06513302773237228,2.632788896560669,9.79744815826416,-0.08462687581777573,0.0001818013988668099,0.2401311695575714,-1.5962443599291054,4.25,0.23511410091698953,65.0
838.1032254379243,1781616487.1377826,0.07003650814294815,2.4118237495422363,9.804319381713867,-0.09216353297233582,-9.761085675563663e-05,0.22699983417987823,-1.6556362223281744,4.26,0.2185577386937078,65.0
838.1132254377007,1781616487.1480708,0.06921491771936417,2.2047979831695557,9.810166358947754,-0.09861478954553604,-0.0003259957884438336,0.2131582796573639,-1.7108458039403445,4.2700000000000005,0.20144928065430434,65.0
838.1232254374772,1781616487.1575925,0.06666303426027298,2.007922887802124,9.814826965332031,-0.10383552312850952,-0.0005004855338484049,0.1988031566143036,-1.7617336405709338,4.28,0.183831944248595,65.0
838.1332254372537,1781616487.168099,0.06333742290735245,1.82137131690979,9.818178176879883,-0.10770939290523529,-0.0006208798731677234,0.18413089215755463,-1.8081711851281657,4.29,0.16575023239731335,65.0
838.1432254370302,1781616487.1787362,0.05599881336092949,1.653698444366455,9.820125579833984,-0.11014670133590698,-0.0006894379039295018,0.1693352609872818,-1.8500411323441295,4.3,0.14724982107387205,65.0
838.1532254368067,1781616487.1892498,0.05029812082648277,1.4972641468048096,9.820740699768066,-0.11108572781085968,-0.0007104239193722606,0.15460647642612457,-1.8872377150988884,4.3100000000000005,0.12837744392288317,65.0
838.1632254365832,1781616487.1997776,0.04307379201054573,1.359768271446228,9.820120811462402,-0.11049006879329681,-0.0006897738203406334,0.14012864232063293,-1.9196669715953893,4.32,0.10918077420692927,65.0
838.1732254363596,1781616487.2112913,0.035276059061288834,1.2406291961669922,9.81839370727539,-0.10834885388612747,-0.000634611293207854,0.1260785162448883,-1.9472469827176417,4.33,0.08970830437975286,65.0
838.1832254361361,1781616487.2218068,0.029608089476823807,1.141310691833496,9.815776824951172,-0.10467568039894104,-0.0005528744659386575,0.11262461543083191,-1.9699080789642207,4.34,0.07000922359011065,65.0
838.1932254359126,1781616487.2338214,0.022610072046518326,1.0660953521728516,9.812543869018555,-0.0995076522231102,-0.0004526612174231559,0.09992519021034241,-1.9875930164390299,4.3500000000000005,0.05013329342572035,65.0
838.2032254356891,1781616487.2533596,0.018035316839814186,1.0102925300598145,9.808897018432617,-0.09290478378534317,-0.0003418925334699452,0.08812818676233292,-2.000257121454737,4.36,0.03013072221117298,65.0
838.2132254354656,1781616487.262795,0.012441352941095829,0.980604887008667,9.805109024047852,-0.08494735509157181,-0.00022789188369642943,0.07736922055482864,-2.007868403383827,4.37,0.010052038177334709,65.0
838.2232254352421,1781616487.2728224,0.008114822208881378,0.9598153829574585,9.801249504089355,-0.07582306861877441,-0.0001168012895504944,0.06772627681493759,-2.010407635466873,4.38,-0.010052038177334023,65.0
838.2332254350185,1781616487.2813349,0.00456782104447484,0.8527456521987915,9.796541213989258,-0.06623738259077072,-1.1898270713572856e-05,0.05899351090192795,-2.007868403383827,4.39,-0.030130722211172297,65.0
838.243225434795,1781616487.290848,0.0009644100209698081,0.67164146900177,9.791313171386719,-0.05681581422686577,8.560268179280683e-05,0.050907984375953674,-2.0002571214550184,4.4,-0.05013329342572248,65.0
838.2532254345715,1781616487.300374,-0.003466544672846794,0.4415690302848816,9.786060333251953,-0.04802481085062027,0.0001764440821716562,0.043208349496126175,-1.987593016438749,4.41,-0.07000922359010997,65.0
838.263225434348,1781616487.310887,-0.006113769952207804,0.17513900995254517,9.781253814697266,-0.04020436480641365,0.00026328820968046784,0.035646703094244,-1.969908078964222,4.42,-0.08970830437975219,65.0
838.2732254341245,1781616487.3214047,-0.011527936905622482,-0.1135563999414444,9.7771577835083,-0.033591266721487045,0.00035005685640498996,0.027996091172099113,-1.947246982717643,4.43,-0.10918077420692862,65.0
838.283225433901,1781616487.3309262,-0.017362812533974648,-0.41577890515327454,9.773996353149414,-0.028337758034467697,0.00044161651749163866,0.020055172964930534,-1.919666971595521,4.44,-0.12837744392288383,65.0
838.2932254336774,1781616487.3404365,-0.0235445536673069,-0.7301015257835388,9.771892547607422,-0.024526430293917656,0.0005435453495010734,0.011651672422885895,-1.8872377150987552,4.45,-0.14724982107387138,65.0
838.3032254334539,1781616487.3509576,-0.03354576975107193,-1.0466116666793823,9.77086067199707,-0.02218048833310604,0.0006615454331040382,0.0026432275772094727,-1.850041132344135,4.46,-0.16575023239731274,65.0
838.3132254332304,1781616487.3604844,-0.045120980590581894,-1.3664616346359253,9.77078914642334,-0.02127421647310257,0.0008011055761016905,-0.00708170747384429,-1.8081711851281657,4.47,-0.1838319442485944,65.0
838.3232254330069,1781616487.3705082,-0.059103332459926605,-1.6881023645401,9.771571159362793,-0.021740222349762917,0.0009674190077930689,-0.017604472115635872,-1.7617336405710615,4.48,-0.201449280654305,65.0
838.3332254327834,1781616487.3800356,-0.07630304992198944,-2.007577419281006,9.77299690246582,-0.023475879803299904,0.0011647224891930819,-0.028977012261748314,-1.7108458039402197,4.49,-0.2185577386937072,65.0
838.3432254325598,1781616487.3885324,-0.09554844349622726,-2.324897050857544,9.774813652038574,-0.026349755004048347,0.0013964237878099084,-0.041223373264074326,-1.65563622232818,4.5,-0.235114100916989,65.0
838.3532254323363,1781616487.3980474,-0.11798702925443649,-2.6406402587890625,9.776782989501953,-0.03020717203617096,0.0016648771706968546,-0.05434129014611244,-1.596244359929108,4.51,-0.2510765445162801,65.0
838.3632254321128,1781616487.407573,-0.1426856815814972,-2.949371814727783,9.778643608093262,-0.03487451747059822,0.001970988931134343,-0.06830384582281113,-1.5328202457420559,4.5200000000000005,-0.26640474697370065,65.0
838.3732254318893,1781616487.4170787,-0.1702032834291458,-3.25374436378479,9.780105590820312,-0.04016563296318054,0.002314279554411769,-0.08306130766868591,-1.4655240945839199,4.53,-0.28105998791953984,65.0
838.3832254316658,1781616487.4265962,-0.1979035586118698,-3.5512444972991943,9.780960083007812,-0.045885395258665085,0.0026927862782031298,-0.09854363650083542,-1.394525902372995,4.54,-0.2950052469432698,65.0
