direction,speed_kmh,Ay_ms2,Ay_g,psi_dot_rads,SWA_deg,R_meas_m
right,48,-3.4206298780441284,-0.3486880609627042,-0.2537272992730141,-12.778196479020561,51.81
right,50,-3.708397010564804,-0.3780221213623653,-0.26413390576839446,-12.862218625713684,51.83
right,52,-4.007402182817459,-0.4085017515614127,-0.2745208118855953,-12.948551464768212,51.85
right,54,-4.317595503330231,-0.44012186578289814,-0.2848908345401287,-13.037260375758427,51.87
right,56,-4.639086294174194,-0.4728936079688271,-0.29524983793497084,-13.128450773773329,51.89
right,58,-4.971738078594208,-0.5068030661156175,-0.30559505745768545,-13.22200235748433,51.91
right,60,-5.315514760017395,-0.5418465606541687,-0.3159246936440468,-13.317912061438593,51.93
right,62,-5.670236186981201,-0.5780057275210194,-0.32622934624552724,-13.4159145873866,51.95
right,64,-5.989588875770568,-0.6105595184271732,-0.33421274453401567,-14.615186996144166,52.28
right,66,-6.354437322616577,-0.6477510012860934,-0.3440334129333496,-14.922821692967863,52.34
right,68,-6.727583336830139,-0.68578831160348,-0.353739767819643,-15.232882504739667,52.41
right,70,-7.110151779651642,-0.7247861141337045,-0.3634017376601696,-15.54729679599034,52.49
right,72,-7.502534086704254,-0.7647843105712797,-0.37304632022976875,-15.867091560640397,52.56
right,74,-7.90410863161087,-0.8057195343130347,-0.3826441416144371,-16.190926322977525,52.63
right,76,-8.315449528694153,-0.8476503087353876,-0.3922304503619671,-16.521922665591532,52.69
right,78,-8.737179622650146,-0.8906401246330423,-0.40185851857066157,-16.860631816308636,52.74
right,80,-7.8521559929847715,-0.8004236486223009,-0.35713049486279486,-26.018854693468583,60.04
right,82,-8.138167805671692,-0.8295787773365639,-0.36100310772657396,-26.98392755417493,61.29
right,84,-7.445091607570649,-0.7589288081111771,-0.3264930380880833,-34.98229015627795,68.12
right,86,-7.3023681592941285,-0.7443800366252934,-0.3134639164805412,-37.0,72.48
right,88,-7.311283755302429,-0.7452888639452017,-0.3065050746500492,-37.0,75.9
right,90,-7.321620345115662,-0.7463425428252458,-0.29991625145077705,-37.0,79.39
