t,t_wall,ax,ay,gravity,gx,gy,psi_dot,delta_dot,t_rel,v0_kmh
702.5593386311084,1781615242.6584437,2.7160215377807617,-0.005190209951251745,9.84670352935791,-1.6907393728615716e-05,0.0002396318013779819,-0.00042834054329432547,0.0,2.7600000000000002,30
702.5693386308849,1781615242.6699488,2.7144525051116943,-0.006356158293783665,9.846697807312012,-3.146075687254779e-05,0.00023945345310494304,-0.0004379340971354395,0.0,2.77,30
702.5793386306614,1781615242.679483,2.7111189365386963,0.0020680055022239685,9.84669303894043,1.8848511899705045e-05,0.00023917917860671878,-0.0004253575170878321,0.0,2.7800000000000002,30
702.5893386304379,1781615242.6919963,2.709644317626953,-0.0069081149995327,9.84664249420166,-4.718004220194416e-06,0.00023895545746199787,-0.0004286634211894125,0.0,2.79,30
702.5993386302143,1781615242.7015176,2.707472324371338,-0.006476827897131443,9.846628189086914,-2.1927586203673854e-05,0.00023875200713519007,-0.00043571111746132374,0.0,2.8000000000000003,30
702.6093386299908,1781615242.71057,2.705904006958008,0.00015699569485150278,9.846632957458496,2.427506842650473e-05,0.00023851347214076668,-0.00042257268796674907,0.0,2.81,30
702.6193386297673,1781615242.7191474,2.703397750854492,-0.006920546758919954,9.846586227416992,5.00967189509538e-07,0.00023833314480725676,-0.0004257865366525948,0.0,2.82,30
702.6293386295438,1781615242.729396,2.7008068561553955,-0.005076720844954252,9.846574783325195,-1.6770640286267735e-05,0.0002381031954428181,-0.0004330970405135304,0.0,2.83,30
702.6393386293203,1781615242.7379103,2.6991238594055176,8.28657575766556e-05,9.846577644348145,2.7892760044778697e-05,0.00023784897348377854,-0.0004205168806947768,0.0,2.84,30
702.6493386290967,1781615242.7484095,2.697697877883911,-0.007002267520874739,9.846515655517578,3.9914016269904096e-06,0.00023764582874719054,-0.00042386792483739555,0.0,2.85,30
702.6593386288732,1781615242.7574968,2.69452166557312,-0.005067731253802776,9.846503257751465,-1.3518434570869431e-05,0.00023742264602333307,-0.0004311171069275588,0.0,2.86,30
